id_venda,data,ano,mes,produto,categoria,regiao,canal_venda,tipo_cliente,vendedor,quantidade,preco_unitario,desconto_pct,receita_liquida,custo_total,lucro,status
36,2025-10-17,2025,10,Tablet 10,Eletrônicos,Norte,E-commerce,Pessoa Física,Eduarda,2,1535.33,0.03,2978.55,2452.08,526.46,Concluída
37,2024-04-26,2024,4,HD Externo 1TB,Acessórios,Sul,E-commerce,Pessoa Jurídica,Bruno,1,462.57,0.03,448.69,286.35,162.34,Concluída
38,2025-08-23,2025,8,Webcam Full HD,Acessórios,Centro-Oeste,E-commerce,Pessoa Jurídica,Carla,6,265.71,0.05,1514.54,959.42,555.12,Concluída
39,2025-10-17,2025,10,Impressora Laser,Escritório,Sul,Loja Física,Pessoa Física,Diego,1,1012.79,0.0,1012.79,910.67,102.12,Concluída
40,2024-08-05,2024,8,Monitor 27,Eletrônicos,Nordeste,Representante,Pessoa Física,Henrique,1,1355.84,0.0,1355.84,1086.71,269.12,Concluída
41,2024-06-28,2024,6,Cadeira Ergonômica,Móveis,Sudeste,Marketplace,Pessoa Física,Eduarda,3,992.67,0.0,2978.0,2045.71,932.29,Concluída
42,2025-05-11,2025,5,Tablet 10,Eletrônicos,Nordeste,Marketplace,Pessoa Jurídica,Diego,5,1641.83,0.0,8209.13,6599.17,1609.96,Concluída
43,2024-09-24,2024,9,Tablet 10,Eletrônicos,Sudeste,Inside Sales,Pessoa Jurídica,Felipe,2,1464.42,0.0,2928.83,2436.66,492.17,Concluída
44,2024-02-04,2024,2,Notebook Pro 14,Eletrônicos,Sudeste,Marketplace,Pessoa Física,Diego,2,4094.74,0.0,8189.47,6885.27,1304.2,Concluída
45,2025-09-17,2025,9,Notebook Pro 14,Eletrônicos,Centro-Oeste,Representante,Pessoa Jurídica,Felipe,6,4040.6,0.0,24243.6,21181.87,3061.73,Concluída
46,2025-11-19,2025,11,Cadeira Ergonômica,Móveis,Nordeste,Loja Física,Pessoa Física,Eduarda,2,1036.23,0.05,1968.83,1387.75,581.08,Concluída
47,2024-10-05,2024,10,Smartphone X,Eletrônicos,Nordeste,Loja Física,Pessoa Jurídica,Diego,4,3029.1,0.0,12116.39,9081.53,3034.86,Concluída
48,2025-01-30,2025,1,Webcam Full HD,Acessórios,Norte,Representante,Pessoa Física,Felipe,4,272.71,0.03,1058.12,644.35,413.77,Concluída
49,2024-03-09,2024,3,Teclado Mecânico,Acessórios,Sudeste,E-commerce,Pessoa Jurídica,Henrique,6,375.95,0.08,2075.25,1309.2,766.05,Concluída
50,2025-02-01,2025,2,Cadeira Ergonômica,Móveis,Sudeste,E-commerce,Pessoa Jurídica,Henrique,3,879.47,0.0,2638.4,2193.4,445.0,Concluída
51,2024-09-09,2024,9,Monitor 27,Eletrônicos,Nordeste,E-commerce,Pessoa Física,Eduarda,1,1425.08,0.0,1425.08,1041.39,383.7,Concluída
52,2025-10-09,2025,10,Monitor 27,Eletrônicos,Sudeste,E-commerce,Pessoa Jurídica,Diego,10,1452.0,0.08,13358.37,10271.31,3087.06,Concluída
53,2025-03-20,2025,3,HD Externo 1TB,Acessórios,Sudeste,Marketplace,Pessoa Física,Eduarda,1,418.14,0.0,418.14,291.21,126.93,Concluída
54,2025-10-21,2025,10,HD Externo 1TB,Acessórios,Sul,Loja Física,Pessoa Jurídica,Gabriela,6,431.9,0.15,2202.71,1741.93,460.78,Concluída
55,2024-04-26,2024,4,Webcam Full HD,Acessórios,Norte,Loja Física,Pessoa Jurídica,Gabriela,1,284.97,0.03,276.42,169.15,107.28,Concluída
56,2024-08-14,2024,8,Headset Gamer,Acessórios,Centro-Oeste,Loja Física,Pessoa Física,Diego,1,405.21,0.15,344.43,291.22,53.21,Concluída
57,2025-04-15,2025,4,Monitor 27,Eletrônicos,Sul,E-commerce,Pessoa Jurídica,Henrique,8,1300.32,0.05,9882.42,8134.78,1747.63,Concluída
58,2024-03-30,2024,3,Smartphone X,Eletrônicos,Sudeste,Loja Física,Pessoa Física,Ana,1,2680.13,0.03,2599.73,2081.86,517.87,Concluída
59,2025-12-24,2025,12,Smartphone X,Eletrônicos,Sudeste,E-commerce,Pessoa Física,Carla,1,3099.37,0.03,0.0,2201.73,0.0,Cancelada
60,2024-01-10,2024,1,Tablet 10,Eletrônicos,Norte,Representante,Pessoa Física,Carla,1,1572.52,0.08,1446.71,1342.37,104.34,Concluída
61,2024-10-08,2024,10,Tablet 10,Eletrônicos,Sudeste,Inside Sales,Pessoa Jurídica,Gabriela,8,1604.98,0.03,12454.64,10007.97,2446.68,Concluída
62,2025-06-01,2025,6,Webcam Full HD,Acessórios,Centro-Oeste,E-commerce,Pessoa Jurídica,Bruno,10,267.47,0.05,2540.97,1653.44,887.53,Concluída
63,2024-03-25,2024,3,Cadeira Ergonômica,Móveis,Sudeste,Loja Física,Pessoa Jurídica,Gabriela,4,902.79,0.05,3430.59,2883.67,546.92,Concluída
64,2024-03-12,2024,3,Webcam Full HD,Acessórios,Sul,E-commerce,Pessoa Física,Henrique,3,251.6,0.08,694.43,506.23,188.2,Concluída
65,2025-02-04,2025,2,Impressora Laser,Escritório,Sul,Loja Física,Pessoa Jurídica,Eduarda,5,1160.39,0.0,5801.94,4187.0,1614.93,Concluída
66,2024-11-01,2024,11,Impressora Laser,Escritório,Sudeste,E-commerce,Pessoa Física,Ana,3,1074.28,0.03,3126.15,2680.95,445.2,Concluída
67,2024-04-15,2024,4,Tablet 10,Eletrônicos,Nordeste,Inside Sales,Pessoa Física,Bruno,3,1613.22,0.0,0.0,3824.31,0.0,Devolvida
68,2024-02-22,2024,2,Tablet 10,Eletrônicos,Sudeste,Loja Física,Pessoa Jurídica,Eduarda,3,1629.12,0.03,4740.73,3872.55,868.18,Concluída
69,2025-06-03,2025,6,Tablet 10,Eletrônicos,Sul,Marketplace,Pessoa Física,Felipe,3,1621.36,0.15,4134.48,3879.14,255.33,Concluída
70,2024-01-05,2024,1,Smartphone X,Eletrônicos,Sudeste,E-commerce,Pessoa Física,Eduarda,1,2849.2,0.03,2763.73,2270.1,493.63,Concluída
71,2025-12-30,2025,12,Cadeira Ergonômica,Móveis,Centro-Oeste,Loja Física,Pessoa Jurídica,Carla,5,872.09,0.1,3924.39,3712.44,211.96,Concluída
72,2024-01-26,2024,1,Mesa Office,Móveis,Nordeste,Loja Física,Pessoa Jurídica,Ana,12,794.08,0.1,8576.05,7017.01,1559.04,Concluída
73,2024-03-18,2024,3,HD Externo 1TB,Acessórios,Sudeste,Marketplace,Pessoa Física,Eduarda,1,443.91,0.1,399.52,294.34,105.18,Concluída
74,2024-09-30,2024,9,Impressora Laser,Escritório,Sudeste,E-commerce,Pessoa Física,Carla,1,1081.3,0.0,1081.3,853.54,227.76,Concluída
75,2025-04-18,2025,4,Impressora Laser,Escritório,Sudeste,Loja Física,Pessoa Física,Bruno,1,1075.94,0.05,1022.14,867.23,154.91,Concluída
76,2025-04-14,2025,4,Tablet 10,Eletrônicos,Sudeste,Marketplace,Pessoa Física,Eduarda,1,1539.89,0.03,1493.69,1298.68,195.02,Concluída
77,2024-11-10,2024,11,Tablet 10,Eletrônicos,Norte,Marketplace,Pessoa Física,Diego,1,1493.81,0.0,1493.81,1236.57,257.24,Concluída
78,2024-12-15,2024,12,Monitor 27,Eletrônicos,Sul,Representante,Pessoa Física,Felipe,1,1287.37,0.15,1094.27,999.65,94.62,Concluída
79,2024-03-15,2024,3,Monitor 27,Eletrônicos,Nordeste,Representante,Pessoa Física,Ana,1,1361.23,0.1,1225.11,1045.9,179.21,Concluída
80,2025-03-10,2025,3,Webcam Full HD,Acessórios,Nordeste,Loja Física,Pessoa Jurídica,Felipe,5,245.41,0.08,1128.89,808.41,320.49,Concluída
81,2025-10-15,2025,10,Mesa Office,Móveis,Sudeste,E-commerce,Pessoa Física,Ana,1,793.39,0.0,793.39,590.79,202.61,Concluída
82,2025-10-11,2025,10,Smartphone X,Eletrônicos,Norte,E-commerce,Pessoa Jurídica,Felipe,2,2939.81,0.08,5409.24,4409.78,999.47,Concluída
83,2025-02-22,2025,2,Mouse Sem Fio,Acessórios,Sudeste,Inside Sales,Pessoa Jurídica,Diego,10,166.92,0.08,1535.68,1127.34,408.34,Concluída
84,2025-06-30,2025,6,Notebook Pro 14,Eletrônicos,Norte,Marketplace,Pessoa Física,Diego,2,4545.02,0.08,8362.83,7094.32,1268.51,Concluída
85,2024-06-13,2024,6,Webcam Full HD,Acessórios,Nordeste,Marketplace,Pessoa Física,Bruno,1,284.18,0.03,275.65,166.3,109.35,Concluída
86,2025-06-09,2025,6,Smartphone X,Eletrônicos,Nordeste,Marketplace,Pessoa Física,Henrique,1,2875.73,0.03,2789.46,2160.3,629.16,Concluída
87,2025-09-07,2025,9,Smartphone X,Eletrônicos,Sudeste,E-commerce,Pessoa Física,Carla,1,2970.02,0.05,2821.52,2111.21,710.3,Concluída
88,2024-10-15,2024,10,Monitor 27,Eletrônicos,Sudeste,Representante,Pessoa Jurídica,Henrique,2,1259.15,0.0,2518.31,2130.74,387.56,Concluída
89,2025-08-20,2025,8,Impressora Laser,Escritório,Centro-Oeste,E-commerce,Pessoa Jurídica,Carla,1,1119.83,0.03,1086.23,865.26,220.97,Concluída
90,2024-01-15,2024,1,Mouse Sem Fio,Acessórios,Nordeste,Loja Física,Pessoa Física,Gabriela,2,190.51,0.05,361.98,220.19,141.79,Concluída
91,2024-10-09,2024,10,Teclado Mecânico,Acessórios,Sudeste,Loja Física,Pessoa Jurídica,Diego,4,345.87,0.03,1341.96,950.7,391.26,Concluída
92,2024-05-20,2024,5,HD Externo 1TB,Acessórios,Sul,Loja Física,Pessoa Física,Eduarda,2,432.79,0.0,865.58,612.62,252.96,Concluída
93,2024-05-06,2024,5,Cadeira Ergonômica,Móveis,Sul,E-commerce,Pessoa Jurídica,Felipe,3,1008.92,0.1,2724.08,2228.47,495.61,Concluída
94,2025-09-04,2025,9,Mesa Office,Móveis,Norte,Representante,Pessoa Física,Henrique,3,851.27,0.03,2477.21,1818.25,658.96,Concluída
95,2024-11-04,2024,11,Smartphone X,Eletrônicos,Sudeste,Representante,Pessoa Física,Diego,1,2765.27,0.03,2682.31,2275.7,406.62,Concluída
96,2024-07-28,2024,7,Teclado Mecânico,Acessórios,Sudeste,Inside Sales,Pessoa Jurídica,Bruno,1,385.28,0.0,385.28,229.27,156.02,Concluída
97,2025-05-15,2025,5,Headset Gamer,Acessórios,Nordeste,E-commerce,Pessoa Jurídica,Ana,5,379.21,0.05,0.0,1382.02,0.0,Devolvida
98,2025-11-19,2025,11,Webcam Full HD,Acessórios,Sudeste,Representante,Pessoa Física,Diego,1,251.14,0.0,251.14,159.54,91.59,Concluída
99,2025-12-23,2025,12,Webcam Full HD,Acessórios,Sudeste,E-commerce,Pessoa Jurídica,Diego,3,281.85,0.05,803.28,473.64,329.64,Concluída
100,2024-07-12,2024,7,Notebook Pro 14,Eletrônicos,Sudeste,E-commerce,Pessoa Física,Bruno,2,3875.15,0.0,7750.31,6595.61,1154.7,Concluída
101,2025-04-02,2025,4,HD Externo 1TB,Acessórios,Nordeste,E-commerce,Pessoa Jurídica,Ana,12,455.6,0.1,4920.44,3495.54,1424.91,Concluída
102,2025-03-18,2025,3,Teclado Mecânico,Acessórios,Sudeste,E-commerce,Pessoa Física,Bruno,2,383.33,0.05,728.34,465.05,263.29,Concluída
103,2024-03-28,2024,3,Notebook Pro 14,Eletrônicos,Nordeste,Representante,Pessoa Jurídica,Felipe,3,4397.31,0.0,13191.93,10118.28,3073.65,Concluída
104,2024-01-07,2024,1,Smartphone X,Eletrônicos,Centro-Oeste,Marketplace,Pessoa Jurídica,Diego,2,3059.89,0.05,0.0,4457.08,0.0,Cancelada
105,2025-12-09,2025,12,Mouse Sem Fio,Acessórios,Sudeste,E-commerce,Pessoa Física,Henrique,2,172.62,0.05,327.97,214.04,113.93,Concluída
106,2024-08-13,2024,8,Teclado Mecânico,Acessórios,Nordeste,Loja Física,Pessoa Jurídica,Carla,6,323.8,0.05,1845.64,1431.25,414.39,Concluída
107,2025-12-21,2025,12,HD Externo 1TB,Acessórios,Sudeste,E-commerce,Pessoa Jurídica,Henrique,5,415.2,0.0,2075.98,1491.32,584.66,Concluída
108,2025-10-27,2025,10,Teclado Mecânico,Acessórios,Sudeste,Loja Física,Pessoa Física,Henrique,1,385.4,0.0,385.4,229.24,156.16,Concluída
109,2024-01-17,2024,1,Cadeira Ergonômica,Móveis,Sudeste,E-commerce,Pessoa Jurídica,Diego,1,884.26,0.0,884.26,695.86,188.4,Concluída
110,2025-09-01,2025,9,Smartphone X,Eletrônicos,Sudeste,Marketplace,Pessoa Física,Bruno,3,2777.96,0.03,8083.87,6564.39,1519.48,Concluída
111,2024-12-28,2024,12,Tablet 10,Eletrônicos,Sul,Loja Física,Pessoa Jurídica,Gabriela,1,1734.65,0.03,1682.61,1333.19,349.43,Concluída
112,2024-08-14,2024,8,Headset Gamer,Acessórios,Norte,E-commerce,Pessoa Jurídica,Gabriela,2,422.7,0.0,845.4,573.48,271.92,Concluída
113,2024-08-31,2024,8,Cadeira Ergonômica,Móveis,Sul,E-commerce,Pessoa Jurídica,Henrique,3,1016.12,0.0,3048.36,2046.69,1001.68,Concluída
114,2024-08-04,2024,8,HD Externo 1TB,Acessórios,Centro-Oeste,E-commerce,Pessoa Física,Ana,1,385.19,0.0,385.19,307.75,77.44,Concluída
115,2025-06-07,2025,6,Tablet 10,Eletrônicos,Sudeste,Loja Física,Pessoa Jurídica,Bruno,2,1774.48,0.03,3442.5,2479.39,963.1,Concluída
116,2024-08-03,2024,8,Notebook Pro 14,Eletrônicos,Nordeste,Marketplace,Pessoa Jurídica,Gabriela,5,4368.8,0.15,18567.41,17914.59,652.82,Concluída
117,2025-07-24,2025,7,HD Externo 1TB,Acessórios,Norte,Inside Sales,Pessoa Física,Felipe,2,463.49,0.0,0.0,592.0,0.0,Cancelada
118,2024-11-30,2024,11,Smartphone X,Eletrônicos,Centro-Oeste,E-commerce,Pessoa Jurídica,Diego,12,3101.67,0.03,36103.42,27156.84,8946.58,Concluída
119,2025-02-05,2025,2,Teclado Mecânico,Acessórios,Sudeste,Marketplace,Pessoa Jurídica,Diego,3,358.17,0.03,1042.28,708.78,333.5,Concluída
120,2024-07-01,2024,7,Impressora Laser,Escritório,Sudeste,E-commerce,Pessoa Jurídica,Henrique,4,1150.12,0.08,4232.44,3483.01,749.43,Concluída
121,2024-04-17,2024,4,Monitor 27,Eletrônicos,Sudeste,Loja Física,Pessoa Jurídica,Gabriela,1,1420.16,0.03,1377.56,1085.66,291.9,Concluída
122,2024-02-08,2024,2,Monitor 27,Eletrônicos,Sul,Loja Física,Pessoa Física,Eduarda,1,1307.22,0.05,1241.86,1016.26,225.6,Concluída
123,2024-12-24,2024,12,Mesa Office,Móveis,Sudeste,Marketplace,Pessoa Física,Diego,1,752.97,0.1,677.67,613.55,64.12,Concluída
124,2025-03-07,2025,3,Smartphone X,Eletrônicos,Sul,Inside Sales,Pessoa Física,Henrique,1,2938.66,0.0,2938.66,2282.27,656.39,Concluída
125,2025-01-14,2025,1,Impressora Laser,Escritório,Sudeste,Representante,Pessoa Jurídica,Bruno,4,1138.45,0.0,4553.78,3646.73,907.05,Concluída
126,2025-10-21,2025,10,Notebook Pro 14,Eletrônicos,Nordeste,Loja Física,Pessoa Jurídica,Ana,2,3823.38,0.03,0.0,6568.9,0.0,Cancelada
127,2025-05-31,2025,5,Smartphone X,Eletrônicos,Sul,Inside Sales,Pessoa Jurídica,Diego,10,3132.86,0.0,31328.63,21613.39,9715.24,Concluída
128,2024-03-02,2024,3,Monitor 27,Eletrônicos,Norte,Representante,Pessoa Física,Gabriela,2,1383.89,0.0,2767.78,2162.14,605.64,Concluída
129,2024-09-23,2024,9,Mesa Office,Móveis,Nordeste,E-commerce,Pessoa Física,Henrique,3,865.99,0.1,2338.17,1857.57,480.6,Concluída
130,2024-09-17,2024,9,Teclado Mecânico,Acessórios,Nordeste,E-commerce,Pessoa Física,Gabriela,1,368.57,0.0,0.0,228.24,0.0,Devolvida
131,2025-11-18,2025,11,Notebook Pro 14,Eletrônicos,Centro-Oeste,Loja Física,Pessoa Jurídica,Carla,4,4224.06,0.05,16051.44,14223.28,1828.16,Concluída
132,2024-02-09,2024,2,Cadeira Ergonômica,Móveis,Sudeste,E-commerce,Pessoa Jurídica,Ana,6,992.62,0.1,5360.13,4432.02,928.11,Concluída
133,2024-12-28,2024,12,Cadeira Ergonômica,Móveis,Sudeste,Inside Sales,Pessoa Física,Eduarda,2,894.55,0.1,1610.19,1490.74,119.45,Concluída
134,2024-01-31,2024,1,Mesa Office,Móveis,Nordeste,Loja Física,Pessoa Física,Eduarda,2,729.59,0.08,1342.44,1241.1,101.34,Concluída
135,2024-10-21,2024,10,Cadeira Ergonômica,Móveis,Sul,Loja Física,Pessoa Física,Henrique,2,879.21,0.03,1705.67,1355.04,350.63,Concluída
136,2024-11-21,2024,11,Monitor 27,Eletrônicos,Sudeste,Loja Física,Pessoa Física,Diego,3,1282.16,0.0,3846.47,3199.15,647.31,Concluída
137,2025-04-28,2025,4,Mouse Sem Fio,Acessórios,Sul,E-commerce,Pessoa Jurídica,Diego,1,185.05,0.0,185.05,109.31,75.75,Concluída
138,2024-11-01,2024,11,Notebook Pro 14,Eletrônicos,Norte,Marketplace,Pessoa Física,Ana,2,4329.22,0.03,8398.69,6588.8,1809.89,Concluída
139,2024-03-19,2024,3,HD Externo 1TB,Acessórios,Nordeste,E-commerce,Pessoa Física,Felipe,1,421.29,0.1,379.16,282.3,96.86,Concluída
140,2024-09-27,2024,9,Notebook Pro 14,Eletrônicos,Nordeste,Marketplace,Pessoa Física,Ana,1,4408.78,0.05,0.0,3365.91,0.0,Cancelada
141,2025-03-15,2025,3,Webcam Full HD,Acessórios,Sudeste,Inside Sales,Pessoa Física,Henrique,2,256.74,0.0,513.48,338.0,175.48,Concluída
142,2025-06-10,2025,6,Impressora Laser,Escritório,Nordeste,Loja Física,Pessoa Jurídica,Carla,5,1126.19,0.03,5462.0,4363.78,1098.22,Concluída
143,2025-10-18,2025,10,Notebook Pro 14,Eletrônicos,Sul,Loja Física,Pessoa Física,Bruno,1,3796.5,0.08,0.0,3373.11,0.0,Cancelada
144,2025-01-12,2025,1,Monitor 27,Eletrônicos,Sudeste,Marketplace,Pessoa Física,Bruno,1,1205.8,0.05,1145.51,1032.75,112.76,Concluída
145,2025-12-26,2025,12,Webcam Full HD,Acessórios,Sudeste,E-commerce,Pessoa Jurídica,Bruno,3,260.04,0.0,780.12,462.92,317.19,Concluída
146,2024-12-31,2024,12,Tablet 10,Eletrônicos,Norte,Marketplace,Pessoa Jurídica,Diego,6,1775.33,0.1,9586.79,7852.25,1734.54,Concluída
147,2025-07-06,2025,7,Cadeira Ergonômica,Móveis,Sudeste,Inside Sales,Pessoa Física,Bruno,1,984.19,0.05,934.98,716.75,218.23,Concluída
148,2024-01-02,2024,1,Webcam Full HD,Acessórios,Sudeste,Representante,Pessoa Física,Diego,2,254.47,0.0,508.93,337.79,171.14,Concluída
149,2024-05-01,2024,5,Webcam Full HD,Acessórios,Nordeste,Loja Física,Pessoa Física,Ana,1,270.4,0.05,0.0,153.65,0.0,Cancelada
150,2024-12-24,2024,12,Webcam Full HD,Acessórios,Sudeste,E-commerce,Pessoa Jurídica,Bruno,10,269.77,0.08,2481.86,1630.1,851.76,Concluída
151,2025-04-03,2025,4,Cadeira Ergonômica,Móveis,Nordeste,E-commerce,Pessoa Jurídica,Felipe,3,989.51,0.03,2879.47,2187.0,692.47,Concluída
152,2024-01-12,2024,1,Mouse Sem Fio,Acessórios,Sudeste,Loja Física,Pessoa Jurídica,Diego,2,200.64,0.0,401.29,209.13,192.15,Concluída
153,2025-11-25,2025,11,Tablet 10,Eletrônicos,Sul,Loja Física,Pessoa Física,Felipe,2,1556.97,0.03,3020.53,2558.28,462.25,Concluída
154,2024-02-04,2024,2,Teclado Mecânico,Acessórios,Sudeste,E-commerce,Pessoa Física,Eduarda,3,328.41,0.15,837.45,676.76,160.69,Concluída
155,2025-05-30,2025,5,Cadeira Ergonômica,Móveis,Nordeste,Marketplace,Pessoa Física,Carla,1,962.43,0.05,914.3,678.97,235.33,Concluída
156,2025-07-31,2025,7,Tablet 10,Eletrônicos,Sudeste,Marketplace,Pessoa Jurídica,Eduarda,12,1539.92,0.03,17924.63,15181.59,2743.04,Concluída
157,2024-01-21,2024,1,Mesa Office,Móveis,Nordeste,Loja Física,Pessoa Jurídica,Felipe,8,732.83,0.0,5862.67,5031.3,831.37,Concluída
158,2025-07-06,2025,7,Smartphone X,Eletrônicos,Sudeste,Representante,Pessoa Física,Ana,1,2741.29,0.05,2604.22,2110.51,493.71,Concluída
159,2024-01-28,2024,1,Mesa Office,Móveis,Sudeste,Marketplace,Pessoa Física,Bruno,2,724.46,0.15,1231.58,1195.65,35.93,Concluída
160,2025-12-07,2025,12,Smartphone X,Eletrônicos,Sudeste,E-commerce,Pessoa Física,Diego,2,2609.79,0.03,0.0,4406.39,0.0,Cancelada
161,2024-11-08,2024,11,Impressora Laser,Escritório,Sul,Loja Física,Pessoa Física,Eduarda,2,1150.64,0.03,2232.24,1797.82,434.43,Concluída
162,2024-06-04,2024,6,Monitor 27,Eletrônicos,Nordeste,E-commerce,Pessoa Física,Felipe,1,1452.19,0.0,1452.19,1012.04,440.16,Concluída
163,2024-01-01,2024,1,Smartphone X,Eletrônicos,Sul,E-commerce,Pessoa Jurídica,Diego,3,2832.46,0.0,0.0,6321.59,0.0,Devolvida
